,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
108,Forces Affecting,External Events Affecting Progress,274,"Competition exerted a magnetic repulsion, pushing them off their intended course.",Competition forces people away from their goals like opposing magnets.,"Magnets, People, Path","Repulsive force, Deviation from path",Competition acting as a repelling force between objects,Two people as magnets being forced apart on a winding path with their original straight path shown faintly behind them.
109,Up,Control,1111,She elevated her position of power.,Rising to a higher status or authority level.,"Person (woman), Position/Status","Upward movement, Height as power",Moving upward in hierarchical structure,A woman climbing a corporate ladder that transforms into a throne at the top.
110,Purity,Morality,1673,She maintained an untarnished moral compass.,Pure and unwavering ethical guidance.,"Moral compass, Person","Untarnished, shiny, clean",Person possessing and following the compass's direction,"A gleaming golden compass with a bright halo, pointing true north while held by clean hands."
111,Machine,Mind,332,His mind's gears ground to a halt under pressure.,Mental breakdown or inability to think clearly due to stress.,"Mind, Gears","Mechanical, Stuck, Broken",Pressure causing mechanical failure,A human head with transparent skull showing rusty gears jammed with smoke rising from them.
112,Fashions,Beliefs,739,Some beliefs are like haute couture - exclusive to certain social circles.,"Certain beliefs are restricted to elite groups, like expensive fashion.","Beliefs, Haute Couture clothing","Exclusive, elite, restricted access","Social hierarchy, limited accessibility","A designer dress behind velvet ropes with guards, while elite people wearing monocles admire it."
113,Getting Destroyed,Intoxication,648,The tequila was an earthquake that shook his world apart.,The destructive and disorienting effects of alcohol consumption.,"Tequila, Earthquake","Disruptive, destructive, powerful",The tequila's effects are compared to an earthquake's destructive force,A glass of tequila creating seismic waves that crack and shatter a man's surroundings into pieces.
114,Injuries,Effects Of Humor,680,His jokes left deep emotional scars that never fully healed.,Hurtful words cause lasting emotional damage.,"Jokes, Emotional wounds/scars","Deep, permanent, painful",Jokes causing emotional damage that persists over time,"A heart with visible deep scars and bandages, with word bubbles containing laughing emojis cutting into it."
115,Machine,Mind,335,The mind's operating system needs occasional rebooting through sleep.,"The mind needs rest to function properly, like a computer needs rebooting.","Mind, Computer Operating System","Tired, Needs refreshing, Requires restart",Sleep acts as a reboot function for the mind,"A human head with a computer screen interface displaying a ""Sleep Mode"" button and loading bar."
116,Physical Closeness,Emotional Intimacy,952,Their souls shared the same breathing space.,Deep spiritual and emotional connection between two people.,"Souls, breathing space","Shared, intimate, connected",Two entities occupying the same spiritual space,Two translucent figures with glowing souls intertwined in a single breath of misty air.
117,Possession,Loved One,1939,Our love is the golden investment that yields eternal returns.,Love grows and provides endless value over time.,"Love, Investment, Gold","Golden, Eternal, Valuable","Growing, Yielding returns",A golden heart sprouting coins and precious gems from its center in an endless spiral pattern.
118,Tangle,Problem,929,Each strand of the problem must be carefully separated.,Complex problems need to be broken down into manageable parts.,Problem represented as tangled threads,"Intertwined, complex, separable",Action of careful separation and untangling,"Hands carefully untangling a ball of colorful threads, with each strand representing different aspects of a problem."
119,Competition For Desired Objects,Competition,546,The last contract is a bone that every dog in town is fighting for.,Fierce competition over a scarce resource.,"Contract, Bone, Dogs","Valuable, Desirable, Limited",Multiple competitors aggressively fighting over one item,A glowing business contract shaped like a bone surrounded by snarling dogs in business suits.
120,Containers,Shapes,1027,Pentagons are vaults of five-sided wisdom.,Geometric shapes contain hidden knowledge and secrets.,"Pentagon, Vault","Five-sided, Secure, Containing wisdom",Pentagon acts as a container of knowledge,A glowing pentagon-shaped vault with ancient scrolls and books visible through its translucent walls.
121,An Object,Existence,448,Life is a kaleidoscope constantly shifting its patterns.,Life is constantly changing and unpredictable.,"Life, Kaleidoscope","Colorful, shifting, dynamic, patterns",Continuous movement and transformation of patterns,"A giant kaleidoscope with human silhouettes dancing within its colorful, rotating geometric patterns."
122,An Activated Machine,Lustful Person,1728,His programming was stuck in high-performance mode.,"Unable to slow down or relax, constantly operating at maximum intensity.","Human brain/programming, Computer processor","Overclocked, Overheated, Stuck",Person's mind operating like an overclocked computer,"A human head with a glowing CPU fan spinning rapidly inside, emitting steam and red warning lights."
123,Solving A Puzzle,Conducting Research,1338,Each researcher adds their pieces to the collective knowledge puzzle.,Scientific knowledge is built collaboratively like assembling a puzzle.,"Researchers, Puzzle pieces, Complete puzzle","Fragmentary, Interconnected, Collaborative","Adding pieces, Building together, Forming a whole","Multiple hands placing glowing puzzle pieces into a large, partially completed puzzle map of human knowledge."
124,Lowering,Harming,1426,Her hopes subsided into the depths of despair.,Declining from optimism to deep sadness.,"Hopes, Depths/Ocean","Sinking, Deep, Dark",Movement downward into darkness,"A bright balloon labeled ""hope"" sinking into dark ocean waters, its light dimming as it descends."
125,Adherence,Complience,1543,Adherence is the compass guiding compliance navigation.,Following rules provides direction and guidance.,"Compass, Navigation path","Directional, Guiding, Navigational",Compass directing movement through compliance waters,A glowing compass floating above a maze-like path with regulatory signposts along the route.
