,source,target,metaphor,literal,contradiction
190,Control Over Possessions,Action,She held her actions tightly in her grasp.,She maintained careful control over her behavior and decisions.,She let her actions run wild without any restraint or consideration.
191,Control Over Possessions,Action,He locked away his impulses in a secure vault.,He strictly controlled and suppressed his spontaneous urges.,He allowed his impulses to flow freely without any restrictions.
192,Control Over Possessions,Action,Her movements were carefully inventoried treasures.,She monitored and regulated each of her actions with precision.,Her movements were random and unaccounted for.
193,Control Over Possessions,Action,He guarded his reactions like precious jewels.,He was very careful about controlling his emotional responses.,He displayed his reactions carelessly without any filter.
194,Control Over Possessions,Action,She catalogued her choices in neat compartments.,She organized and managed her decisions systematically.,She made choices chaotically without any organization or system.
195,Control Over Possessions,Action,His gestures were stored in a locked cabinet.,He kept strict control over his physical expressions and movements.,His gestures were unrestricted and freely displayed without thought.
196,Control Over Possessions,Action,She took inventory of her behavioral assets daily.,She regularly evaluated and monitored her actions and conduct.,She never reflected on or tracked her behavior patterns.
197,Control Over Possessions,Action,His words were carefully counted coins.,He measured and controlled his speech with great precision.,His words flowed freely without any consideration or restraint.
198,Control Over Possessions,Action,She kept her decisions in a fortified strongbox.,She maintained strict control over her decision-making process.,She made decisions impulsively without any careful consideration.
199,Control Over Possessions,Action,His movements were precious commodities under lock and key.,He exercised careful control over his physical actions and behavior.,"His movements were careless and uncontrolled, without any restraint."
200,Beings With A Life Cycle,Beliefs,Old beliefs wither and die like autumn leaves.,Beliefs naturally become outdated and obsolete over time as circumstances change.,"Beliefs remain eternally unchanging and permanent, regardless of time or circumstances."
201,Beings With A Life Cycle,Beliefs,"Her beliefs were still in their infancy, tender and vulnerable.",Her beliefs were newly formed and not yet fully developed or established.,Her beliefs were fully mature and unshakeable from the moment they formed.
202,Beings With A Life Cycle,Beliefs,His outdated beliefs were fossils from a bygone era.,His beliefs were extremely outdated and no longer relevant to current times.,His traditional beliefs were perfectly adapted to modern circumstances.
203,Beings With A Life Cycle,Beliefs,New beliefs sprouted from the ashes of her old convictions.,She developed new beliefs after abandoning her previous ones.,Her original beliefs remained unchanged and unmovable throughout her life.
204,Beings With A Life Cycle,Beliefs,Their beliefs evolved and adapted like organisms in a changing environment.,Their beliefs gradually changed to remain relevant as circumstances shifted.,Their beliefs remained static and rigid despite changing circumstances.
205,Beings With A Life Cycle,Beliefs,The community's beliefs reproduced and spread like a thriving species.,The community's beliefs were widely shared and passed on to others.,The community's beliefs remained isolated and failed to influence others.
